λ(nm) n k
632 2.0093539 0.001325083
633 2.0082035 0.001319044
634 2.007089 0.001314991
635 2.0059779 0.001311135
636 2.0048666 0.001307278
637 2.0037556 0.001303422
638 2.0026567 0.001300155
639 2.0015836 0.001298137
640 2.0005107 0.00129612
641 1.9994378 0.001294103
642 1.9983648 0.001292086
643 1.9973428 0.00129105
644 1.9963471 0.001290521
645 1.9953513 0.001289991
646 1.9943556 0.001289461
647 1.9933598 0.001288932
648 1.9923776 0.001289567
649 1.9913964 0.001290277
650 1.9904152 0.001290987
651 1.989434 0.001291697
652 1.9884614 0.001292546
653 1.9875374 0.001294189
654 1.9866134 0.001295832
655 1.9856893 0.001297475
656 1.9847653 0.001299117
657 1.9838501 0.00130097
658 1.9829576 0.001303364
659 1.9820651 0.001305757
660 1.9811726 0.001308151
661 1.9802802 0.001310544
662 1.9794002 0.001313118
663 1.9785436 0.001316026
664 1.977687 0.001318935
665 1.9768305 0.001321843
666 1.9759738 0.001324751
667 1.9751277 0.001327783
668 1.9743025 0.001331064
669 1.9734774 0.001334345
670 1.9726523 0.001337626
671 1.9718271 0.001340906
672 1.9710139 0.001344237
673 1.9702388 0.001347726
674 1.9694636 0.001351214
675 1.9686884 0.001354702
676 1.9679132 0.001358191
677 1.967139 0.001361683
678 1.9663771 0.001365226
679 1.9656153 0.001368769
680 1.9648533 0.001372312
681 1.9640914 0.001375855
682 1.9633296 0.001379398
683 1.9625927 0.001382943
684 1.961861 0.001386489
685 1.9611293 0.001390035
686 1.9603976 0.001393581
687 1.9596659 0.001397127
688 1.958958 0.001400619
689 1.9582741 0.001404057
690 1.9575902 0.001407495
691 1.9569063 0.001410933
692 1.9562224 0.001414371
693 1.9555395 0.001417795
694 1.9548668 0.001421067
695 1.954194 0.00142434
696 1.9535213 0.001427613
697 1.9528486 0.001430885
698 1.9521759 0.001434158
699 1.9515201 0.001437294
700 1.950876 0.001440335
701 1.950232 0.001443377
702 1.9495881 0.001446418
703 1.948944 0.001449459
704 1.9483 0.0014525
705 1.9476838 0.001455264
706 1.9470676 0.001458028
707 1.9464514 0.001460792
708 1.9458352 0.001463556
709 1.945219 0.00146632
710 1.944606 0.001468999
711 1.9439993 0.001471494
712 1.9433928 0.00147399
713 1.9427861 0.001476486
714 1.9421796 0.001478981
715 1.9415729 0.001481477
716 1.9409903 0.001483792
717 1.9404272 0.001485959
718 1.939864 0.001488126
719 1.9393009 0.001490294
720 1.9387378 0.001492461
